bellona	The Roman goddess of war as an original character: a fierce tall woman with red hair in a tight plait under a bronze helmet with a black crest pushed up on her head, a bronze cuirass over a dark red tunic ending above the knees, bronze bracers over forearms marked with old ritual scars, a black cloak that hangs straight down her back, greaves, hobnailed boots with both feet apart, a coiled leather war whip held tight against the outside of her left leg and a short sword against the right. Palette blood red, bronze, black.
berserker	Berserker, Norse warrior: a massive bare-chested man wearing a bear-head pelt as a hood and cloak hugging his shoulders, war paint, leather trousers and boots, twin axes held down against his legs. Palette brown fur, iron, blood red.
bes	The Egyptian household dwarf god as an original character: a short stocky bandy-legged dwarf with a broad grinning bearded face, a lion's mane and a tall crown of feathers, his tongue out, a leopard-skin cape over the shoulders that hangs straight down the back, a short red kilt, thick short legs and bare feet apart, a round tambourine held tight against the outside of his right leg and a short curved knife against the left. Palette gold, red, leopard tan.
bragi	The Norse god of poetry as an original character: a lean older man with a long flowing white beard and hair, a dark red tunic with gold knotwork under a grey cloak that hangs straight down his back, gold arm rings, soft boots apart, a carved wooden harp held tight against the outside of his left leg. Palette dark red, gold, grey.
centurion	A Roman centurion as an original character: a stocky weathered man with a close-cropped beard, a bronze helmet with a transverse red crest pushed up on his head, a mail shirt with bronze medals across the chest over a red tunic ending above the knees, a pleated strap skirt, bronze greaves, hobnailed sandals with both feet apart, a short gladius sword held tight against the outside of his right leg and a knotted vine-stick held tight against the outside of his left leg. Palette red, iron, bronze.
chang_e	The Chinese goddess of the moon as an original character: a graceful woman with long black hair in a high knot with silver moon pins and a few strands falling loose, a flowing pale-blue and white silk robe with wide sleeves and a silver cloud pattern ending above the ankles, a long white silk sash that hangs straight down her back, a small white rabbit sitting on her right shoulder, embroidered slippers with both feet apart, a slender silver moon-disc mirror on a handle held tight against the outside of her left leg. Palette moon silver, pale blue, white.
cobra_priestess	An Egyptian cobra priestess as an original character: a slim woman with a gold uraeus cobra headdress rising over her brow, a long black wig, a green and gold sheath dress ending above the ankles, a gold collar, bare feet apart, a slender gold and green cobra-headed staff held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette green, gold, black.
cyclops	Cyclops, Greek giant: a hulking one-eyed brute with a bald head and a single huge eye, a rough leather tunic and belt, bare feet, a wooden club with iron bands held against his leg. Palette grey-green skin, brown leather, iron.
dark_elf	A Norse dark elf as an original character: a wiry figure with charcoal-grey skin, white hair pulled back and pointed ears, a black leather jerkin with violet runic trim over dark trousers, a short hooded cloak with the hood down that hangs straight down the back, boots apart, a curved black dagger held tight against the outside of the right leg. Palette black, violet, silver.
demeter	The Greek goddess of the harvest as an original character: a serene mature woman with golden hair in a braided crown wreathed with wheat ears, a knee-length green peplos with a gold belt, slit at the sides so both legs are fully separate and visible, a short tan cloak that hangs straight down her back, gold arm bands, laced sandals with both feet a shoulder-width apart and clear space between the knees, a short sickle held point-down in her right hand flat against the outside of her right thigh, a small bunch of wheat ears held in her left hand tight against the outside of her left leg, nothing reaching below the knee. Palette green, gold, tan.
diana	The Roman goddess of the moon and the hunt as an original character: a lean young woman with dark hair in a knot under a silver crescent-moon diadem, a short white hunting tunic with a green border ending above the knees, a leather baldric, a short grey cloak that hangs straight down her back, laced hunting boots with both feet apart, a silver recurve bow held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head and a quiver of silver arrows on her back. Palette white, silver, forest green.
dionysus	The Greek god of wine as an original character: a young long-haired man with a crown of ivy and grapes and a knowing smile, a short purple chiton with gold trim ending above the knees, a leopard pelt tied around his waist as a short overskirt with nothing hanging in front of the legs, gold armbands, sandalled feet a shoulder-width apart, a short thyrsus no longer than his forearm with a small pine-cone head held upright in his right hand tight against the outside of his right thigh, its butt at knee height, a gold cup in his left hand held against the outside of his left thigh, nothing crossing the body and nothing reaching the ground. Palette purple, gold, leopard tan.
draugr	Draugr, Norse undead warrior: a blue-grey rotting corpse in rusted chainmail and a torn tunic, a horned iron helmet, glowing blue eyes, a notched axe held against his leg. Palette rusted iron, corpse grey, glowing blue, no shield.
dwarf_smith	Dwarf Smith, Norse craftsman: a short broad dwarf with a long braided red beard, a leather apron over chainmail, a horned iron helmet, a huge smithing hammer held against his leg. Palette iron, red, leather brown, no shield.
einherjar	A ghostly Norse warrior of the hall of the slain as an original character: a broad bearded warrior with pale blue-white skin and glowing eyes, an iron helmet with a nose guard, a ring-mail shirt over a blue tunic ending above the knees, leather bracers, boots apart and an axe held tight against the outside of his right leg. Palette iron, blue, pale gold, no shield.
fenrir	A monstrous Norse wolf-man as an original character: a towering hunched wolf-headed warrior with grey-black fur, yellow eyes and bared fangs, a broken iron chain and shackle around his neck and a shackle with a few broken links on each wrist, a dark leather harness with steel studs over the chest and a ragged fur kilt ending above the knees, clawed feet apart, empty clawed hands at his sides. Palette grey, steel blue, black.
fox_spirit	A nine-tailed fox spirit of Chinese legend as an original character: a slender woman with fox ears, silver-white hair to her waist, amber eyes and a knowing smile, a layered red and white silk hanfu robe ending above the knees, nine white fox tails fanned low behind her and kept within the silhouette, a red silk sash that hangs straight down her back, embroidered slippers with both feet apart, a small paper lantern burning with cold blue fire held tight against the outside of her right leg. Palette red, white, silver.
freya	Freya, Norse goddess of love and war: a woman with long golden braids, a feathered cloak hanging close to the body, a blue dress under a bronze breastplate, a gold torc, a sword held down against her leg. Palette gold, blue, white.
frigg	The Norse queen of the gods as an original character: a stately woman with long silver-blonde hair in braids under a gold circlet, a long blue and cream gown with gold embroidery ending above the ankles, a falcon-feather cloak that hangs straight down her back, a ring of keys at her belt, soft boots apart, a distaff wound with golden thread held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette blue, cream, gold.
frost_troll	A Norse frost troll as an original character: a hulking heavy-shouldered troll with pale blue-grey hide like frosted stone, small tusks, a broad flat nose, deep-set white eyes, a shaggy mane of ice-white hair down the back, a hide loincloth and a belt of knotted rope, huge bare feet a shoulder-width apart, standing upright and facing the viewer, a stone-headed club no longer than his arm held upright in his right hand tight against the outside of his right leg with its head at shoulder height and its butt at knee height, clear of the ground, painted with the same soft natural shading and fine texture as a human character and no dark outlines. Palette ice blue, grey stone, dark hide.
gladiator	A Roman gladiator as an original character: a muscular scarred man with short dark hair, a bronze visored helmet with a fish crest pushed up on his head, one bronze shoulder guard and a padded arm guard on the right arm, a bare chest, a wide leather belt over a short white loincloth ending above the knees, one bronze greave on the left leg, sandalled feet apart. Palette bronze, sand, white, no shield.
guan_yu	A deified general of the Three Kingdoms as an original character: a towering dignified man with a very long black beard to his belt and long black hair under a green silk headscarf, red-brown skin, heavy green and gold lamellar armour over a green robe ending above the knees, bracers and greaves, boots with both feet a shoulder-width apart, a broad single-edged dao sword held point-down in his right hand flat against the outside of his right thigh with its tip above the knee, no polearm, nothing crossing the body and nothing reaching the ground. Palette jade green, gold, red-brown.
hades	Hades, Greek god of the underworld, as an original character: a pale bearded man with a dark iron crown, a black and violet chiton ending above the knees over dark greaves, both sandalled feet visible, a dull gold pectoral, a two-pronged bident held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette black, violet, dull gold.
harpy	A Greek harpy as an original character: a fierce woman with wild dark hair, large brown-grey feathered wings folded flat against her back, human arms with taloned hands, bird-clawed feet, a tattered grey feathered tunic ending above the knees, a bone dagger held down at her right side flat against the thigh.
hathor	Hathor, Egyptian goddess of joy: a woman with cow horns holding a sun disc on her head, long braided hair, a red and gold dress with a slit that shows both sandalled feet, a gold menat necklace, a sistrum rattle held down against the outside of her right leg. Palette crimson, gold, turquoise.
heimdall	The Norse watchman of the gods as an original character: a tall broad man with a white beard and long white hair under a gold horned helmet, a white and gold cloak that hangs straight down his back, a bronze scale cuirass over a blue tunic ending above the knees, fur-trimmed boots with both feet a shoulder-width apart, the great curved horn slung at his hip on a strap, a short sword held point-down in his right hand flat against the outside of his right thigh with its tip above the knee, no spear, nothing reaching the ground. Palette white, gold, blue.
hel	The Norse goddess of the dead as an original character: a tall gaunt woman whose face and body are half living pale skin and half blue-black corpse flesh split down the middle, long black hair under a crown of black iron thorns, a fitted black gown with silver knotwork ending at mid-shin and slit up the front to the knee so both legs and her bare feet are fully visible, feet a shoulder-width apart with clear space between the knees, long sleeves, empty open hands hanging at her sides a little away from the body. Palette black, corpse blue, pale skin, silver.
hephaestus	The Greek smith god as an original character: a broad barrel-chested bearded man with soot-dark curly hair and a leather smith's cap, a heavy leather apron over a short brown tunic ending above the knees, bronze greaves on both legs and a bronze brace on the right leg, sandalled feet apart, a big square-headed smith's hammer held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette bronze, leather brown, ember orange.
hera	The Greek queen of the gods as an original character: a regal woman with dark hair piled under a tall gold crown, a long peplos of white and royal blue with gold borders ending above the ankles, a peacock-feather mantle that hangs straight down her back, gold armbands, sandalled feet apart, a tall gold sceptre topped with a small bird held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette white, gold, peacock blue.
heracles	The Greek hero of the twelve labours as an original character: a massive muscular bearded man with curly dark hair, the head and pelt of a lion worn as a hood with the pelt hanging close down his back, a short brown belted tunic, leather bracers and sandals, a heavy knotted olive-wood club held down at his right side flat against the thigh.
hermes	Hermes, Greek messenger god: a lean young man in a winged petasos hat, a short travelling cloak clasped at the shoulder and hanging close, a white tunic, winged sandals, a caduceus staff held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette white, sky blue, gold.
hoplite	A Greek hoplite soldier as an original character: a stern bearded man in a bronze Corinthian helmet with a white horsehair crest, a bronze bell cuirass over a short crimson tunic, bronze greaves, leather sandals, a short bronze sword held down at his right side flat against the thigh, no shield and no spear.
horus	Horus, falcon-headed Egyptian god of the sky: a falcon head with sharp golden eyes and the double crown, a bronze and gold pectoral, a white kilt with gold and turquoise panels, gold bracers, a khopesh held down against his right leg. Palette gold, white, turquoise.
idunn	The Norse goddess of youth as an original character: a fresh-faced young woman with long red-gold braids and a crown of apple blossom, a green and cream dress with gold trim ending above the ankles, a brown leather apron, soft boots apart, a wooden basket of golden apples held tight against the outside of her left leg. Palette green, cream, gold.
isis	Isis, Egyptian goddess: a woman with a gold throne-shaped headdress and a vulture crown, long black hair, a white sheath dress with a gold and turquoise beaded net, a wide gold collar, gold armbands, an ankh sceptre held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette gold, white, turquoise.
jackal_warrior	Jackal Warrior, a soldier of Anubis: a lean man wearing a black jackal-head helm with tall ears, a leather and bronze cuirass, a black and gold kilt, a curved dagger held against his right leg, a small bronze buckler on his left forearm. Palette black, bronze, dull gold.
jiangshi	A hopping corpse of Chinese legend as an original character: a stiff greenish-grey figure in a faded dark-blue Qing-dynasty robe with a round mandarin hat, a long yellow paper talisman hanging from the brow over his face, long black nails on stiff hands held slightly away from the body, the robe ending above the ankles so both stiff feet in black boots show apart, a small brass bell tied to his belt. Palette faded blue, grey-green, talisman yellow.
khnum	The Egyptian ram-headed god as an original character: a broad heavy-shouldered man with the head of a ram, long curling horizontal horns, a short brown-gold mane, a plain white kilt with a green sash, a wide gold collar, gold armbands, thick legs and sandalled feet apart and a short mace against the outside of his right leg. Palette gold, white, river green, no shield.
light_elf	A Norse light elf as an original character: a slender graceful figure with pale luminous skin, long white hair and pointed ears, a white and pale-gold tunic with leaf embroidery ending above the knees, a short green cloak that hangs straight down the back, bare feet apart, a slender white staff topped with a glowing crystal held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette white, pale gold, leaf green.
loki	An original Norse trickster god (not any real person): a lean grinning man with slicked-back black hair and a bronze helmet with two long curved horns, a green tunic with gold trim under a dark leather coat that hangs straight down, a curved dagger held against the outside of his right leg. Palette green, gold, black.
maat	The Egyptian goddess of truth as an original character: a poised young woman with a single tall white ostrich feather standing up from a gold headband, black braided hair, a simple white linen dress with a gold and turquoise belt ending above the ankles, a gold collar, white feathered wings folded tight down her back, bare feet apart, a gold ankh held tight against the outside of her right leg. Palette white, gold, turquoise.
mars	The Roman god of war as an original character: a broad heavily built bearded man in a bronze muscled cuirass with a crested bronze helmet, a red tunic ending above the knees, a short red cloak that hangs straight down his back, bronze greaves and bracers, hobnailed sandals with both feet a shoulder-width apart, a short gladius sword held point-down in his right hand flat against the outside of his right thigh with its tip above the knee, no spear, no shield, nothing reaching the ground. Palette engraved bronze, crimson, gold.
medjay	An Egyptian desert scout as an original character: a lean dark-skinned young man with short curled hair under a white and red headcloth, a leather cross-belt over a bare chest, a short white kilt with a copper belt, leather bracers, sandalled feet apart, a recurve bow held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head and a quiver of arrows on his back. Palette copper, white, red.
medusa	Medusa, Greek gorgon: a woman with a crown of small green snakes for hair, pale green skin, golden eyes, a dark bronze scale bodice, a long dark green skirt, bronze bracers, clawed hands at her sides. Palette green, dark bronze, gold.
mercury	The Roman god of trade, travel and thieves as an original character: a lithe smiling young man with short curly hair under a winged bronze cap, an orange knee-length tunic with a leather belt and a small satchel, a short blue travelling cloak that hangs straight down his back, winged sandals with both feet a shoulder-width apart, a short caduceus no longer than his forearm held like a wand in his right hand tight against the outside of his right thigh, its foot at knee height, clear of the ground, nothing crossing the body. Palette orange, bronze, sky blue.
minerva	The Roman goddess of wisdom as an original character: a composed woman with dark hair drawn back under a gold Attic helmet with a tall crest pushed up on her head, a white peplos with a purple border ending at the shin, a bronze scaled aegis over the chest, a small owl perched on her left shoulder, sandalled feet a shoulder-width apart with clear space between the knees, a short sword held point-down in her right hand flat against the outside of her right thigh with its tip above the knee, no spear, no shield, nothing reaching the ground. Palette white, purple, gold.
minotaur	Minotaur, Greek creature: a huge bull-headed man with wide horns and a nose ring, a massive muscular torso, dark fur on the legs, iron manacles on the wrists, a leather loincloth, a great double axe held against his leg. Palette dark brown, iron, blood red.
mummy	Mummy, an Egyptian undead: a bandaged humanoid with linen wrappings hanging loose, dark cracked skin showing through, a gold funerary mask over the face, a broken gold collar, empty hands. Palette linen white, dark brown, gold.
nephthys	The Egyptian goddess of mourning as an original character: a slender woman with dark hair under a black and gold headdress shaped like a basket on a house, a long black sheath dress with gold trim ending above the ankles, a wide gold collar, black kite wings folded tight against her back, bare feet apart, empty hands at her sides. Palette black, gold, dusk violet.
neptune	The Roman god of the sea and of horses as an original character: a powerful bearded man with sea-green hair and beard under a laurel wreath, a bronze scale cuirass over a teal tunic ending above the knees, a teal cloak that hangs straight down his back, bronze greaves, bare feet a shoulder-width apart, a short trident no longer than his forearm held upright in his right hand tight against the outside of his right thigh with its butt at knee height and its tines at hip height, clear of the ground, nothing crossing the body. Palette teal, bronze, sea green.
nezha	The lotus prince of Chinese legend as an original character: a bright-eyed boy of about twelve with his black hair in two high buns tied with red ribbons, a red silk stomacher and short red and gold jacket over white trousers ending above the ankles, a long red sash that hangs straight down his back, a gold ring worn like a collar, small wheels of fire strapped flat under each foot with both feet apart, a fire-tipped spear held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette red, gold, white.
nike	The Greek winged goddess of victory as an original character: an athletic young woman with short dark hair under a gold laurel wreath, a short white and gold chiton ending above the knees, gold greaves, large white wings folded tight down her back, sandalled feet apart, a short sword held tight against the outside of her right leg and a laurel branch in her left hand at her side. Palette white, gold, laurel green.
njord	The Norse god of the sea as an original character: a weathered bearded man with grey-blond hair, a sea-green tunic under a fish-scale mail shirt, a blue cloak that hangs straight down his back, a gold torc, rope wound around one forearm, sea boots apart, a long steering oar held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette sea green, blue, gold, no shield.
nuwa	The Chinese creator goddess who mended the sky as an original character: a majestic woman with long black hair under a crown of five glowing stones of five colours, a long robe of yellow and green silk patterned like serpent scales ending above the ankles so both bare feet show apart, a wide sash of five colours that hangs straight down her back, gold armbands, a lump of glowing five-coloured stone held tight against the outside of her right leg and a bronze compass in her left hand at her side. Palette yellow, jade green, five-colour.
nymph	A Greek water nymph as an original character: a slim young woman with flowing pale-blue hair braided with lilies, a light white and sea-green chiton ending above the knees, a wreath of reeds, bare feet apart, a slender clay water jar held tight against the outside of her left leg. Palette sea green, white, silver.
odin	The Norse all-father as an original character, one single figure alone: an old broad-shouldered bearded man with one eye and a leather eyepatch, long grey hair under a wide-brimmed dark hat, a dark blue cloak that hangs straight down his back over a grey mail shirt, a single raven perched on his right shoulder, gloves, boots with both feet a shoulder-width apart, a short seax knife held point-down in his right hand flat against the outside of his right thigh with its tip above the knee, no spear, nothing reaching the ground. Palette midnight blue, grey, pale gold.
osiris	The Egyptian god of the dead as an original character: a serene man with smooth green skin, a tall white atef crown with two ostrich plumes, a plaited false beard, wrapped in white linen mummy bindings from the chest to the ankles with a red sash, a wide gold collar, both bandaged feet visible and apart, a gold crook held tight against the outside of his right leg and a flail against the left. Palette white, gold, green.
perseus	The Greek hero Perseus as an original character: a lean athletic young man with short curly dark hair under a winged bronze helmet, a short white tunic under a bronze scale breastplate, winged sandals, a leather satchel at his hip, a curved bronze harpe sword held down at his right side flat against the thigh, no shield.
pluto	The Roman god of the underworld and of buried wealth as an original character: a grave, pale man with a dark beard and a crown of dark gold and black iron, a long black robe with a wide gold border ending above the ankles under a heavy gold pectoral set with silver coins, a black cloak that hangs straight down his back, gold rings on every finger, sandalled feet apart, a two-pronged bident of dark iron held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette black, old gold, silver.
poseidon	The Greek god of the sea as an original character: a powerful bearded man with sea-green hair and beard under a bronze and coral crown, a bare muscled chest with a bronze shoulder guard, a deep-blue wrap kilt ending above the knees, bronze bracers and greaves, sandalled feet a shoulder-width apart, a short trident no longer than his forearm held upright in his right hand tight against the outside of his right thigh with its butt at knee height and its tines at hip height, clear of the ground, nothing crossing the body. Palette sea green, bronze, deep blue.
ptah	The Egyptian craftsman god as an original character: a calm man with a tight lapis-blue skullcap and a straight false beard, wrapped in a close-fitting white shroud from the shoulders to the ankles with a gold collar and a menat counterweight down his back, both sandalled feet visible and apart, a tall was-sceptre with a djed and ankh head held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette white, lapis blue, gold.
ra	The Egyptian sun god as an original character: a tall falcon-headed man with bronze-gold feathers and a large golden sun disc on his head, a broad gold collar, a white kilt with a red sash ending above the knees, gold arm bands, sandalled feet a shoulder-width apart, a short gold ankh no longer than his forearm held in his right hand tight against the outside of his right thigh, its foot at knee height, clear of the ground, no staff, nothing crossing the body. Palette blazing gold, white, carnelian.
satyr	A Greek satyr as an original character: a wiry goat-legged man with shaggy brown fur from the waist down and cloven hooves, short curling horns, pointed ears and a pointed beard, bare-chested with a wreath of ivy and a leather strap across the chest, a wooden pan-flute held down at his right side flat against the thigh.
scarab_knight	Scarab Knight, an Egyptian tomb guardian: a stocky armoured warrior whose helmet and chest plate are shaped like a shining blue-green scarab beetle, sandstone-coloured underarmour, a short mace held against the right leg. Palette iridescent blue-green, sandstone, gold, no shield.
serqet	The Egyptian scorpion goddess as an original character: a lithe woman with a gold scorpion crown whose tail arches up over her head, dark hair, a fitted black and gold dress ending above the knees with a segmented gold armour bodice, gold bracers, bare feet apart, a curved dagger held tight against the outside of each leg. Palette black, gold, venom green.
set	Set, Egyptian god of storms: a tall figure with the Set-animal head, a long curved snout and tall square-tipped ears, red-black skin, a dark red and black kilt with iron plates, iron bracers, a was-sceptre held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette rust red, iron black, dull gold.
shabti	An Egyptian shabti figurine come to life as an original character: a stiff man-shaped figure of glazed faience with painted black hieroglyphs down the front of its body, a plain nemes headcloth, a serene painted face, a small bronze hoe held down at its right side flat against the thigh.
shield_maiden	A Norse shield maiden as an original character: a fierce young woman with blonde braids and blue war paint, a leather and steel-scale corselet over a dark blue tunic ending above the knees, a fur-trimmed cloak that hangs straight down her back, bracers, boots apart, a round red and white painted shield slung flat on her back, a straight sword held down flat against the outside of her right thigh. Palette steel, dark blue, red.
sif	A Norse goddess with golden hair as an original character: a strong young woman with long shining golden hair to her waist, a leather and bronze scale corselet over a red tunic ending above the knees, bronze bracers, a green cloak that hangs straight down her back, fur-trimmed boots apart, a straight sword held tight against the outside of her right leg. Palette gold, red, green.
siren	A Greek siren as an original character: a pale woman with long dark seaweed-green hair and small feathered wings folded tight against her back, feathered forearms ending in clawed hands, a teal and silver scaled bodice with a short feathered skirt ending above the knees, bird-like taloned feet apart, a small silver lyre held tight against the outside of her left leg. Palette teal, silver, dark green.
skadi	Skadi, Norse giantess of winter: a tall woman in white fur and leather with a fur hood, frost-blue skin, snowshoes on her feet, a recurved bow held vertically tight against her body, a quiver on her back. Palette white fur, ice blue, silver.
sobek	Sobek, Egyptian crocodile god: a heavy figure with a crocodile head, green-grey scaled skin, a bronze chest harness, a dark blue kilt, a short bronze spear held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette bronze, deep blue, mossy green, no shield.
sun_wukong	The Monkey King of Chinese legend as an original character: a wiry grinning monkey-faced figure with golden-brown fur, a gold circlet on his brow, gold and red scale armour over a tiger-skin kilt ending above the knees, red boots with both feet a shoulder-width apart, his magic staff shrunk to a golden needle tucked behind his right ear as in the legend, both hands empty and open at his sides a little away from the body, no staff, no weapon, nothing crossing the body. Palette gold, red, tiger orange.
surtr	A Norse fire giant as an original character: a towering muscular giant with charcoal-black cracked skin glowing orange in the cracks, a mane of flame-orange hair, dark iron armour plates over the chest and shoulders, a scorched leather kilt ending above the knees, iron greaves, bare feet a shoulder-width apart, a short flaming sword no longer than his forearm held point-down in his right hand flat against the outside of his right thigh with its tip above the knee, clear of the ground. Palette charcoal black, ember orange, dark iron.
taweret	The Egyptian hippopotamus goddess as an original character: a stout round-bellied standing hippopotamus woman with a friendly fierce face, small ears, a long black wig, a red and gold collar and a gold belt over a green and gold kilt, lion-like paws, thick short legs and broad feet apart, a heavy knotted staff held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette river green, gold, red.
terracotta_soldier	A terracotta warrior of the First Emperor's buried army as an original character: a stocky soldier made entirely of fired grey-brown clay with faint traces of red and green paint, a topknot with a small cloth cap, a knee-length clay tunic with a pattern of armour plates ending above the knees, clay leg wrappings and square-toed shoes with both feet apart, a real bronze halberd with a long shaft held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head. Palette terracotta brown, faded red, bronze.
thor	Thor, Norse god of thunder: a huge red-bearded man with a winged iron helmet, a leather and iron cuirass, a red cloak clasped close to the shoulders and hanging straight down behind, iron gauntlets, a short-handled war hammer held down against his right leg. Palette iron, red, gold.
tyr	Tyr, Norse god of justice: a stern warrior with an iron cap helmet and a short beard, a chainmail shirt under a grey and blue tunic, his right forearm ending in an iron cap where the hand was lost, a longsword in a scabbard at his side. Palette iron, blue, white, no shield.
ullr	The Norse god of archery as an original character: a tall lean bearded man with long ash-blond hair under a fur-lined hood pushed back, a white and grey fur-trimmed tunic ending above the knees, a leather bracer, laced winter boots apart, a tall yew longbow held upright close against the body, gripped at its middle so its butt hangs clear of the ground at knee height and its head rises no higher than the crown of the head and a quiver on his back. Palette white, ice blue, silver.
